rmort,rmortTB,CDRscaleO,fchild,vchild,rchild,w,pchild,pelderly,padult,n,uiscaleC,relderly,radult,x,fadult,felderly,vadult,CDRscale,e,nelderly,velderly,uiscaleA,uiscaleE,neta,CDRscaleE,p0
-0.6,-0.947166017,-0.375591411,0.148374473,0.000148023,0.005340967,0.013105324,0.022316193,0.301828362,0.153215259,0.190738202,1.928362309,0.014053165,0.005469576,0.319065987,0.740399437,0.719656054,0.000214569,0.434812694,0.736910397,0.113303988,0.001432753,0.596500091,1.242117823,2.437650127,-0.050488009,1267142
-0.6,-0.796349799,-0.017109031,0.139636799,0.000152275,0.006739665,0.009929781,0.018081862,0.236955236,0.172554663,0.189131943,1.885050346,0.023140734,0.005358325,0.265812844,0.719397883,0.703495866,0.000197187,0.424038417,0.76085058,0.102837126,0.000706786,0.162671766,0.258992855,2.199230221,-0.0223471,1267142
-0.6,-0.90150403,0.010691471,0.113446002,0.000135527,0.00629592,0.013964896,0.018201384,0.265131312,0.145913687,0.186244145,1.013761508,0.014034529,0.005085973,0.279306567,0.722931133,0.708578175,0.000205244,0.417056352,0.697983531,0.102337315,0.001537826,0.349579726,0.684817614,2.617801562,-0.019155668,1267142
-0.6,-0.931698387,0.700977595,0.113077855,0.000148507,0.009641351,0.011478145,0.017943173,0.281357844,0.156468024,0.177875432,1.606646762,0.006673605,0.005478139,0.316421038,0.741257258,0.712821514,0.00023917,0.460228231,0.645970812,0.102330787,0.002455993,0.575864955,1.070542558,2.383974361,-0.068801819,1267142
-0.6,-0.949551742,-0.141579647,0.141420059,0.000163344,0.00512803,0.011965084,0.021505222,0.359621366,0.154923243,0.174292124,1.858988191,0.011246147,0.005735587,0.32931872,0.728648108,0.709501641,0.000204586,0.441254066,0.795340845,0.110491123,0.0019501,0.71582816,1.491216932,2.295778981,-0.027735313,1267142
-0.6,-0.913565527,-0.135074657,0.149692937,0.000126922,0.0068863,0.012222839,0.025222529,0.262693058,0.18359582,0.218841118,1.960368126,0.015910243,0.005463276,0.28961718,0.746687873,0.695396643,0.00023623,0.401295455,0.657293633,0.10013217,0.001180698,0.363302629,0.399435392,2.120249469,-0.019268055,1267142
-0.6,-0.811066968,0.649732597,0.142700092,0.000112731,0.005573451,0.011984948,0.0178055,0.310899998,0.155186173,0.191026653,1.267222154,0.014611662,0.005099423,0.258790387,0.693574061,0.682670949,0.000218323,0.375561505,0.793302961,0.102474397,0.001410093,0.252880828,0.351559814,2.553308258,-0.046897645,1267142
-0.6,-0.914408065,0.547276167,0.116625794,0.000127788,0.005952555,0.013522036,0.02399883,0.266872798,0.164415513,0.176304805,1.425663223,0.009655779,0.005740874,0.266502523,0.68802593,0.68623671,0.000221142,0.395321045,0.788430093,0.100964531,0.002848623,0.383209441,0.609671384,2.15053846,0.018856274,1267142
-0.6,-0.931697742,0.870421006,0.138643885,0.000108847,0.006616576,0.015327334,0.021063964,0.294736722,0.145270285,0.182554466,1.495285048,0.008890579,0.006641832,0.316940499,0.727202716,0.682729093,0.000238953,0.436137601,0.73129879,0.115548902,0.002363283,0.415317013,0.548309039,2.451227554,0.013578025,1267142
-0.6,-0.943743108,-0.292138485,0.143605819,0.000152832,0.005559037,0.012615013,0.021532142,0.310963317,0.149464108,0.181937414,1.989043655,0.020063304,0.005131376,0.31570047,0.736876926,0.718733327,0.000214859,0.424527516,0.735553864,0.11511652,0.000679447,0.697181802,1.153780078,2.479196401,-0.039150489,1267142
-0.6,-0.896753332,-0.139248606,0.141125285,0.000152246,0.007249241,0.014230793,0.016097692,0.298937148,0.161998528,0.211040062,1.974836317,0.010041298,0.005127027,0.27802258,0.710807051,0.67107587,0.000210779,0.364451299,0.7724515,0.110417271,0.00185852,0.355003219,0.393216956,2.450327146,-0.104091148,1267142
-0.6,-0.864815701,0.647600142,0.143220993,0.000121094,0.005468193,0.012678038,0.020007775,0.306379419,0.150725367,0.181565713,1.345833336,0.005595392,0.005013589,0.273968547,0.718768683,0.684634658,0.000211638,0.428602387,0.784743346,0.10653094,0.003053189,0.176973639,0.328098281,2.410642971,0.02917185,1267142
-0.6,-0.848764886,0.251287978,0.141344575,0.000153664,0.006657249,0.014591223,0.01760714,0.310187871,0.15991061,0.190939451,1.987186586,0.011941672,0.005089593,0.281181486,0.730673131,0.651941988,0.000234435,0.467831409,0.779389891,0.101066973,0.001285311,0.178780697,0.249268522,2.4786718,-0.061275935,1267142
